2016,4,14,0,0,12.9,78
2016,4,14,0,0,13,79
2016,4,14,1,0,12.5,87
2016,4,14,1,0,12.5,94
2016,4,14,2,0,12.7,91
2016,4,14,2,0,12.1,89
2016,4,14,3,0,11.4,91
2016,4,14,3,0,9.5,93
2016,4,14,4,0,8.7,95
2016,4,14,4,0,8.1,95
2016,4,14,5,0,8.1,93
2016,4,14,5,15.1,7.6,93
2016,4,14,6,115.7,7.9,93
2016,4,14,6,271.7,9.4,84
2016,4,14,7,458,10.6,79
2016,4,14,7,655,11.6,74
2016,4,14,8,830.4,12.9,69
2016,4,14,8,940.7,13.8,63
2016,4,14,9,1012.4,14.6,58
2016,4,14,9,1178.3,14.8,57
2016,4,14,10,1280.5,15.3,59
2016,4,14,10,1468,16,58
2016,4,14,11,868.1,15.7,59
2016,4,14,11,781,16.3,56
2016,4,14,12,660.1,16.7,54
2016,4,14,12,1727.7,18.4,51
2016,4,14,13,1586.2,18.3,50
2016,4,14,13,1513.7,18.3,51
2016,4,14,14,1417.7,18.2,54
2016,4,14,14,1239.5,18.1,53
2016,4,14,15,1157.6,17.9,51
2016,4,14,15,998.1,17.7,50
2016,4,14,16,820.5,17.2,53
2016,4,14,16,614.5,16.5,56
2016,4,14,17,351.9,15.4,61
2016,4,14,17,256.8,14.7,64
2016,4,14,18,101.2,14,65
2016,4,14,18,17.1,12.8,68
2016,4,14,19,0,11.9,71
2016,4,14,19,0,11.6,71
2016,4,14,20,0,11.3,73
2016,4,14,20,0,10.4,73
2016,4,14,21,0,10.7,70
2016,4,14,21,0,11.1,65
2016,4,14,22,0,10.6,68
2016,4,14,22,0,9.3,75
2016,4,14,23,0,9.1,76
2016,4,14,23,0,8.1,81
2016,6,3,0,0,18.3,67
2016,6,3,0,0,18.5,66
2016,6,3,1,0,18.1,70
2016,6,3,1,0,17.4,75
2016,6,3,2,0,17,78
2016,6,3,2,0,16.2,81
2016,6,3,3,0,15.5,86
2016,6,3,3,0,15.1,88
2016,6,3,4,0,14.6,88
2016,6,3,4,3,14.5,89
2016,6,3,5,48,14.5,89
2016,6,3,5,178,15.5,87
2016,6,3,6,328,17.5,80
2016,6,3,6,494,19.5,70
2016,6,3,7,668,20.8,66
2016,6,3,7,839,22.8,58
2016,6,3,8,1006,24.4,55
2016,6,3,8,1053,25.9,50
2016,6,3,9,1211,27.6,34
2016,6,3,9,1417,28.4,37
2016,6,3,10,1486,29.5,33
2016,6,3,10,1474,30.6,32
2016,6,3,11,1668,32.2,29
2016,6,3,11,1727,33.8,26
2016,6,3,12,1608,34.3,27
2016,6,3,12,1765,35,27
2016,6,3,13,1641,36.7,24
2016,6,3,13,1273,35.4,26
2016,6,3,14,1552,37.1,23
2016,6,3,14,1426,36.8,18
2016,6,3,15,1301,36.4,19
2016,6,3,15,1158,36.1,18
2016,6,3,16,1005,35.6,21
2016,6,3,16,789,34.6,23
2016,6,3,17,288,32.4,29
2016,6,3,17,449,31.9,28
2016,6,3,18,353,31,27
2016,6,3,18,175,29.4,25
2016,6,3,19,46,27.3,26
2016,6,3,19,2,25,27
2016,6,3,20,0,23.9,30
2016,6,3,20,0,22.5,39
2016,6,3,21,0,21.8,42
2016,6,3,21,0,21.3,44
2016,6,3,22,0,19.9,53
2016,6,3,22,0,20.1,54
2016,6,3,23,0,19.2,58
2016,6,3,23,0,19.7,55
2016,6,17,0,0,14,93
2016,6,17,0,0,13.1,94
2016,6,17,1,0,13.5,96
2016,6,17,1,0,14,95
2016,6,17,2,0,14,94
2016,6,17,2,0,13.8,94
2016,6,17,3,0,13.8,94
2016,6,17,3,0,13.7,95
2016,6,17,4,0,14.3,95
2016,6,17,4,3,14.5,94
2016,6,17,5,55,14.9,93
2016,6,17,5,195,15.1,93
2016,6,17,6,234,16.4,87
2016,6,17,6,266,17.2,84
2016,6,17,7,237,17.4,81
2016,6,17,7,625,18.4,77
2016,6,17,8,823,19.4,73
2016,6,17,8,1320,20.7,68
2016,6,17,9,1562,22,64
2016,6,17,9,810,21.8,62
2016,6,17,10,1310,22.6,60
2016,6,17,10,585,21.5,64
2016,6,17,11,1408,22.3,63
2016,6,17,11,1391,22.3,64
2016,6,17,12,1118,21.4,67
2016,6,17,12,568,20.7,69
2016,6,17,13,628,20.2,71
2016,6,17,13,401,19.9,73
2016,6,17,14,671,20.3,71
2016,6,17,14,910,20.2,71
2016,6,17,15,723,19.9,71
2016,6,17,15,426,19.7,69
2016,6,17,16,363,19.8,69
2016,6,17,16,410,20.2,67
2016,6,17,17,319,20.5,62
2016,6,17,17,187,20.1,60
2016,6,17,18,84,19.5,61
2016,6,17,18,26,19,64
2016,6,17,19,13,18.5,67
2016,6,17,19,1,17.9,74
2016,6,17,20,0,17.5,77
2016,6,17,20,0,17.1,78
2016,6,17,21,0,16.7,79
2016,6,17,21,0,16.3,81
2016,6,17,22,0,16,82
2016,6,17,22,0,15.9,78
2016,6,17,23,0,15.8,74
2016,6,17,23,0,15.7,76
2016,7,15,0,0,15.1,81
2016,7,15,0,0,14.7,83
2016,7,15,1,0,14.1,86
2016,7,15,1,0,13.8,88
2016,7,15,2,0,13.4,90
2016,7,15,2,0,13.4,92
2016,7,15,3,0,13.3,94
2016,7,15,3,0,13.5,94
2016,7,15,4,0,13.4,94
2016,7,15,4,0,13.3,94
2016,7,15,5,0,13.1,96
2016,7,15,5,0,13.1,96
2016,7,15,6,6.4,13.2,95
2016,7,15,6,78.3,13.5,95
2016,7,15,7,119.5,13.9,93
2016,7,15,7,220.2,14.1,92
2016,7,15,8,546.9,15,91
